model,cv_best_score,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr,log_loss,brier_score,calibrated,best_params
catboost,0.463464226542697,0.5950030469226082,0.5073789817130409,0.5023651693017089,0.47042655914385545,0.7327032620792592,0.877760646834935,0.5165051531412514,False,"{""learning_rate"": 0.1, ""iterations"": 600, ""depth"": 6}"
random_forest,0.4532883695497965,0.5913467397928093,0.49145357081029245,0.4976144097169828,0.4643619353156952,0.7258550350161886,0.8855382610488316,0.5209502795675226,False,"{""n_estimators"": 600, ""min_samples_leaf"": 1, ""max_depth"": null}"
gradient_boosting,0.4566957120656694,0.5941499085923218,0.49737182367743293,0.4989969083637568,0.4606194230774719,0.7349259875482939,0.8774793696862795,0.5164925650554242,False,"{""n_estimators"": 300, ""max_depth"": 4, ""learning_rate"": 0.05}"
xgboost,0.46347556621281927,0.593418647166362,0.4947019306968703,0.4929687933897214,0.45080979107933733,0.7309771574587641,0.8933518714127199,0.5236871903208885,True,"{""subsample"": 0.8, ""n_estimators"": 600, ""max_depth"": 7, ""learning_rate"": 0.05}"
logistic_regression,0.43484604577369695,0.6031687995124924,0.5205286501312711,0.5026156630367388,0.4497431335791304,0.7423850470014122,0.8680308045222501,0.5100300193127822,False,"{""clf__C"": 0.1}"
lightgbm,0.4638337229470699,0.58915295551493,0.48202287662876225,0.48591239674098885,0.4432750550940412,0.7231606818716799,0.9102706820050448,0.5341242364470561,True,"{""subsample"": 0.8, ""num_leaves"": 63, ""n_estimators"": 600, ""learning_rate"": 0.1}"
