feature,importance
elo_diff,0.3097014208431763
away_elo_pre,0.08044720850182278
h2h_balance,0.058902932268581176
importance,0.0485875245195768
home_elo_pre,0.047972587088146695
away_form_goals_against,0.04386084562588767
defense_diff,0.04380067944268316
home_clean_sheet_rate,0.03794014085509135
attack_diff,0.03588115799177427
home_form_goals_against,0.035446939006625156
away_form_goals_for,0.033452183482409484
form_diff,0.031796582145902606
neutral,0.031232566813695278
home_form_goals_for,0.02945443724570646
away_form_win_rate,0.024180783892501685
away_clean_sheet_rate,0.022842011852386487
home_form_win_rate,0.01935926388360105
